event_episode_id,event_type,ddr_wellbore_id,usrop_well_id,onset_md,horizon_m,cutoff_md,join_status,reason
EP_V2_232,Tight Hole,NO 15/9-19 BT2,,3405.0,25,3380.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_232,Tight Hole,NO 15/9-19 BT2,,3405.0,50,3355.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_232,Tight Hole,NO 15/9-19 BT2,,3405.0,100,3305.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_233,Tight Hole,NO 15/9-19 BT2,,3656.0,25,3631.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_233,Tight Hole,NO 15/9-19 BT2,,3656.0,50,3606.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_233,Tight Hole,NO 15/9-19 BT2,,3656.0,100,3556.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_234,Tight Hole,NO 15/9-19 BT2,,3772.0,25,3747.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_234,Tight Hole,NO 15/9-19 BT2,,3772.0,50,3722.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_234,Tight Hole,NO 15/9-19 BT2,,3772.0,100,3672.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_235,Tight Hole,NO 15/9-19 BT2,,4031.0,25,4006.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_235,Tight Hole,NO 15/9-19 BT2,,4031.0,50,3981.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_235,Tight Hole,NO 15/9-19 BT2,,4031.0,100,3931.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_237,Tight Hole,NO 15/9-19 BT2,,3469.0,25,3444.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_237,Tight Hole,NO 15/9-19 BT2,,3469.0,50,3419.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_237,Tight Hole,NO 15/9-19 BT2,,3469.0,100,3369.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_271,Pack-off,NO 15/9-19 S,,1483.0,25,1458.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_271,Pack-off,NO 15/9-19 S,,1483.0,50,1433.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_271,Pack-off,NO 15/9-19 S,,1483.0,100,1383.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_272,Pack-off,NO 15/9-19 S,,2120.0,25,2095.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_272,Pack-off,NO 15/9-19 S,,2120.0,50,2070.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_272,Pack-off,NO 15/9-19 S,,2120.0,100,2020.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_273,Pack-off,NO 15/9-19 S,,2866.0,25,2841.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_273,Pack-off,NO 15/9-19 S,,2866.0,50,2816.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_273,Pack-off,NO 15/9-19 S,,2866.0,100,2766.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_274,Pack-off,NO 15/9-19 S,,2741.0,25,2716.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_274,Pack-off,NO 15/9-19 S,,2741.0,50,2691.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_274,Pack-off,NO 15/9-19 S,,2741.0,100,2641.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_275,Pack-off,NO 15/9-19 S,,3353.0,25,3328.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_275,Pack-off,NO 15/9-19 S,,3353.0,50,3303.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_275,Pack-off,NO 15/9-19 S,,3353.0,100,3253.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_276,Pack-off,NO 15/9-19 S,,2220.0,25,2195.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_276,Pack-off,NO 15/9-19 S,,2220.0,50,2170.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_276,Pack-off,NO 15/9-19 S,,2220.0,100,2120.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_277,Pack-off,NO 15/9-19 S,,1470.0,25,1445.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_277,Pack-off,NO 15/9-19 S,,1470.0,50,1420.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_277,Pack-off,NO 15/9-19 S,,1470.0,100,1370.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_278,Pack-off,NO 15/9-19 S,,,25,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_278,Pack-off,NO 15/9-19 S,,,50,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_278,Pack-off,NO 15/9-19 S,,,100,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_289,Stuck Pipe,NO 15/9-19 S,,1493.0,25,1468.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_289,Stuck Pipe,NO 15/9-19 S,,1493.0,50,1443.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_289,Stuck Pipe,NO 15/9-19 S,,1493.0,100,1393.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_292,Tight Hole,NO 15/9-19 S,,3017.0,25,2992.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_292,Tight Hole,NO 15/9-19 S,,3017.0,50,2967.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_292,Tight Hole,NO 15/9-19 S,,3017.0,100,2917.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_342,Equipment Failure,NO 15/9-19 ST2,,3141.0,25,3116.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_342,Equipment Failure,NO 15/9-19 ST2,,3141.0,50,3091.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_342,Equipment Failure,NO 15/9-19 ST2,,3141.0,100,3041.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_362,Equipment Failure,NO 15/9-19 ST2,,0.0,25,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_362,Equipment Failure,NO 15/9-19 ST2,,0.0,50,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_362,Equipment Failure,NO 15/9-19 ST2,,0.0,100,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_369,Equipment Failure,NO 15/9-19 ST2,,750.0,25,725.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_369,Equipment Failure,NO 15/9-19 ST2,,750.0,50,700.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_369,Equipment Failure,NO 15/9-19 ST2,,750.0,100,650.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_373,FORMATION_MUD_LOSS,NO 15/9-19 ST2,,3018.0,25,2993.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_373,FORMATION_MUD_LOSS,NO 15/9-19 ST2,,3018.0,50,2968.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_373,FORMATION_MUD_LOSS,NO 15/9-19 ST2,,3018.0,100,2918.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_396,Kick,NO 15/9-19 ST2,,,25,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_396,Kick,NO 15/9-19 ST2,,,50,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_396,Kick,NO 15/9-19 ST2,,,100,,REJECTED_NO_ONSET,onset_md is null or zero
EP_V2_400,Pack-off,NO 15/9-19 ST2,,3018.0,25,2993.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_400,Pack-off,NO 15/9-19 ST2,,3018.0,50,2968.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_400,Pack-off,NO 15/9-19 ST2,,3018.0,100,2918.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_412,Tight Hole,NO 15/9-19 ST2,,2941.0,25,2916.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_412,Tight Hole,NO 15/9-19 ST2,,2941.0,50,2891.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_412,Tight Hole,NO 15/9-19 ST2,,2941.0,100,2841.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_414,Tight Hole,NO 15/9-19 ST2,,3018.0,25,2993.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_414,Tight Hole,NO 15/9-19 ST2,,3018.0,50,2968.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_414,Tight Hole,NO 15/9-19 ST2,,3018.0,100,2918.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_416,Tight Hole,NO 15/9-19 ST2,,3050.0,25,3025.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_416,Tight Hole,NO 15/9-19 ST2,,3050.0,50,3000.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_416,Tight Hole,NO 15/9-19 ST2,,3050.0,100,2950.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_418,Tight Hole,NO 15/9-19 ST2,,2100.0,25,2075.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_418,Tight Hole,NO 15/9-19 ST2,,2100.0,50,2050.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_418,Tight Hole,NO 15/9-19 ST2,,2100.0,100,2000.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_419,Tight Hole,NO 15/9-19 ST2,,3580.0,25,3555.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_419,Tight Hole,NO 15/9-19 ST2,,3580.0,50,3530.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_419,Tight Hole,NO 15/9-19 ST2,,3580.0,100,3480.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_420,Tight Hole,NO 15/9-19 ST2,,3546.0,25,3521.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_420,Tight Hole,NO 15/9-19 ST2,,3546.0,50,3496.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_420,Tight Hole,NO 15/9-19 ST2,,3546.0,100,3446.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_421,Tight Hole,NO 15/9-19 ST2,,3555.0,25,3530.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_421,Tight Hole,NO 15/9-19 ST2,,3555.0,50,3505.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_421,Tight Hole,NO 15/9-19 ST2,,3555.0,100,3455.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_422,Tight Hole,NO 15/9-19 ST2,,4641.0,25,4616.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_422,Tight Hole,NO 15/9-19 ST2,,4641.0,50,4591.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_422,Tight Hole,NO 15/9-19 ST2,,4641.0,100,4541.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_424,Tight Hole,NO 15/9-19 ST2,,4408.0,25,4383.0,UNRESOLVED_NO_WELL,Not in USROP
EP_V2_424,Tight Hole,NO 15/9-19 ST2,,4408.0,50,4358.0,UNRESOLVED_NO_WELL,Not in USROP
